id,name,brand,category,price,rating,colors,is_featured,images,created_at,old_price,slug
0,Nike Air Max Plus,nike,unisex,229,100,"[{""name"":""Clear Sky"",""slug"":""clear-sky"",""color"":""#6994c2"",""base_color"":""blue""},{""name"":""Crimson Cloud"",""slug"":""crimson-cloud"",""color"":""#bc1119"",""base_color"":""red""},{""name"":""Ice Peach"",""slug"":""ice-peach"",""color"":""#6bd5d2"",""base_color"":""blue""}]",true,,2026-09-12 09:07:40.061107+00,269,nike-air-max-plus
1,Nike P-6000,nike,men,169,97,"[{""name"":""Black Blizzard"",""slug"":""black-blizzard"",""color"":""#000000"",""base_color"":""black""},{""name"":""Ice Crack"",""slug"":""ice-crack"",""color"":""#3a4256"",""base_color"":""blue""},{""name"":""Cyanid"",""slug"":""cyanid"",""color"":""#6bd5d2"",""base_color"":""blue""}]",true,,2026-08-14 10:18:32.381082+00,199,nike-p-6000
2,Nike Air Max 90,nike,men,119,86,"[{""name"":""Concreate"",""slug"":""concreate"",""color"":""#88858c"",""base_color"":""grey""},{""name"":""White Snow"",""slug"":""white-snow"",""color"":""#ffffff"",""base_color"":""white""}]",false,,2026-08-03 11:04:14.988801+00,139,nike-air-max-90
3,Nike V2K Run,nike,women,129,92,"[{""name"":""Silver Chariot"",""slug"":""silver-chariot"",""color"":""#d0c9d4"",""base_color"":""grey""}]",false,,2026-08-28 21:29:07.29226+00,,nike-v2k-run
4,New Balance 1906R,new balance,men,109,87,"[{""name"":""Golden Plate"",""slug"":""golden-plate"",""color"":""#89672d"",""base_color"":""yellow""},{""name"":""Emerald Hazard"",""slug"":""emerald-hazard"",""color"":""#2b4f3d"",""base_color"":""green""},{""name"":""Duality"",""slug"":""duality"",""color"":""#ffffff"",""base_color"":""white""}]",false,,2026-07-15 15:44:02.206028+00,,new-balance-1906r
5,New Balance 703,new balance,women,119,83,"[{""name"":""Duality"",""slug"":""duality"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""Pink Guy"",""slug"":""pink-guy"",""color"":""#db3e8c"",""base_color"":""pink""}]",false,,2026-08-20 18:37:07.982554+00,,new-balance-703
6,New Balance 530,new balance,unisex,99,95,"[{""name"":""Not White Snow"",""slug"":""not-white-snow"",""color"":""#ffffff"",""base_color"":""white""},{""name"":""Orange Burn"",""slug"":""orange-burn"",""color"":""#ef835c"",""base_color"":""orange""},{""name"":""Silver Flame"",""slug"":""silver-flame"",""color"":""#9fa4aa"",""base_color"":""grey""}]",true,,2026-07-20 01:57:17.578776+00,129,new-balance-530
7,New Balance 740,new balance,men,149,99,"[{""name"":""Human Nature"",""slug"":""human-nature"",""color"":""#eee1ba"",""base_color"":""brown""},{""name"":""Blant Slate"",""slug"":""blant-slate"",""color"":""#ced1d2"",""base_color"":""grey""},{""name"":""Dark Plague"",""slug"":""dark-plague"",""color"":""#000000"",""base_color"":""black""}]",true,,2026-09-04 14:40:51.040804+00,179,new-balance-740
8,Reebok Zig Kinetica 2.5,reebok,women,99,90,"[{""name"":""B Travel"",""slug"":""b-travel"",""color"":""#000000"",""base_color"":""black""},{""name"":""Tasteless"",""slug"":""tasteless"",""color"":""#ced1d2"",""base_color"":""grey""}]",false,,2026-08-03 07:27:23.069786+00,,reebok-zig-kinetica-2-5
9,Reebok FloatZig 2,reebok,women,119,89,"[{""name"":""Actimel C+"",""slug"":""actimel-c"",""color"":""#8d6db8"",""base_color"":""orange""}]",false,,2026-08-29 15:11:46.104629+00,,reebok-floatzig-2
